游戏名称,国家,发表时间,作者,游戏时长,内容,是否推荐/好评
Stardew Valley,中国,2023-05-03,DeerGod,48.1,现在的评论区都怎么了？不知道说什么就回家舔你亩亲的比水去，天天牛子牛子没完了？每个人来翻评论区都是为了了解这个游戏怎么样，好不好玩，有没有缺点，谁在乎你那还没小拇指大的牛子？你要点数买扫必头像关我吊事，自己穷买不起就来当乞丐等着你爹吐给你呢？还有各种养猫的，你怎么不把尼马拴上狗链子放评论区当星奴？天天复制点烂梗到处刷，别人真正对游戏的评价都被顶下去了，你的核桃脑子想不出东西就赶紧抱着你的爽亲速度入土，别在这发癫复制刷烂梗，你发一次你佳里人的谷辉就少一两，刹必玩意,推荐
Stardew Valley,中国,2018-02-04,顶级老鼠人,54.6,"我们需要创意工坊！我们需要mod！
we need workshop!! We need mods!!",推荐
Stardew Valley,中国,2020-07-28,Vivid_Rabbit,281.1,点一下玩一年，装备不花一分钱,推荐
Stardew Valley,中国,2025-04-19,可可爱喝热可可,89.2,"从明天起，做一个幸福的人
喂马、劈柴，周游世界
从明天起，关心粮食和蔬菜
我有一所房子，面朝大海，春暖花开
从明天起，和每一个亲人通信
告诉他们我的幸福
那幸福的闪电告诉我的
我将告诉每一个人
给每一条河每一座山取一个温暖的名字
陌生人，我也为你祝福
愿你有一个灿烂的前程
愿你有情人终成眷属
愿你在尘世获得幸福
我只愿面朝大海，春暖花开",推荐
Stardew Valley,中国,2017-02-08,SoSoHand,212.0,10月131日，我们如愿的迎来了官方中文,推荐
Stardew Valley,中国,2022-10-31,超级棒棒糖#,9.0,"在这里养了一只猫猫，路过的朋友可以摸摸她一赞摸一次
＿＿
／＞　　フ
| 　_　 _ l
／` ミ＿xノ
/　　　 　 |
/　 ヽ　　 ﾉ
│　　|　|　|
／￣|　　 |　|　|
| (￣ヽ＿_ヽ_)__)
＼二つ",推荐
Stardew Valley,中国,2017-12-14,一尾小河鱼,197.8,"你可以一个月只挣500元但仍然不会被人嫌弃，你可以不用因为长相问题而苦恼于找对象，你可以同性结婚或永远单身而不被侧目，你可以在任何时间休息。这个世界本来就是这么精彩，无奈大多数人都很平庸。


睡觉之后又是新的一天。


腾讯版不要买。",推荐
Stardew Valley,中国,2019-04-01,今天是周五吗,176.6,超爱 等一个可爱男孩和我一起种地^ ^,推荐
Stardew Valley,中国,2022-10-27,最近反应越来越慢,16.4,"⣿⢟⣽⣿⣿⣿⣿⣫⡾⣵⣿⣿⣿⠃⠄⠄⠘⢿⣿⣾⣿⣿⣿⢿⣿
⢫⣿⣿⣿⣿⡿⣳⣿⣱⣿⣿⣿⡋⠄⠄⠄⠄⠄⠛⠛⠋⠁⠄⠄⣿
⣿⣿⣿⣿⡿⣹⡿⣃⣿⣿⣿⢳⠁⠄⠄⠄⢀⣀⠄⠄⠄⠄⠄⢀⣿
⡿⣿⣿⣿⢡⣫⣾⢸⢿⣿⡟⣿⣶⡶⢰⣿⣿⣿⢷⠄⠄⠄⠄⢼⣿
⣽⣿⣿⠃⣲⣿⣿⣸⣷⡻⡇⣿⣿⢇⣿⣿⣿⣏⣎⣸⣦⣠⡞⣾⢧
⣿⣿⡏⣼⣿⣿⡏⠙⣿⣿⣤⡿⣿⢸⣿⣿⢟⡞⣰⣿⣿⡟⣹⢯⣿
⣿⣿⣸⣿⣿⣿⣿⣦⡈⠻⣿⣿⣮⣿⣿⣯⣏⣼⣿⠿⠏⣰⡅⢸⣿
⣿⣇⣿⣿⡿⠛⠛⠛⠛⠄⣘⣿⣿⣿⣿⣿⣿⣶⣿⠿⠛⢾⡇⢸⣿
⣿⢻⣿⣿⣷⣶⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⡋⠉⣠⣴⣾⣿⡇⣸⣿
⣿⢸⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣄⠘⢿⣿⠏⠄⣿⣿
⣿⠸⣿⣿⣿⣿⣿⣿⠿⠿⢿⣿⣿⣿⣿⣿⣿⣿⣦⣼⠃⠄⢰⣿⣿
⣿⡄⠙⢿⣿⣿⡿⠁⠄⠄⠄⠄⠉⣿⣿⣿⣿⣿⣿⡏⠄⢀⣾⣿⢯
⣿⡇⠄⠄⠙⢿⣀⠄⠄⠄⠄⠄⣰⣿⣿⣿⣿⣿⠟⠄⠄⣼⡿⢫
你可以摸一摸她，一赞一次",推荐
Stardew Valley,中国,2021-01-11,⎛⎝FrankHJJ⎠⎞,48.6,"生活并不完美，但我依然热爱生活。
车水马龙，川流不息。摩天碍日，鳞次栉比。大城市的钢筋泥土充斥着生活的每个角落，让疲倦的心无处躲藏。
板桥人渡泉声，茅檐日午鸡鸣。顾况在山农家留下千古诗篇；银钏金钗来负水，长刀短笠去烧畲。刘禹锡在竹林中体验人生百味；采菊东篱下，悠然见南山。陶渊明在深山里释怀浮世美景。于是，背起行囊，来到了星露谷。
一片荒地，一口池塘，一间小屋。微风吹拂野草，星辰照亮阡陌。沿着小路漫步，不多久就到了鹈鹕镇———星露谷的中心，花一般的城镇。和蔼的村长介绍着城镇的文化，诚恳的皮埃尔推销着商铺的新品，憨厚的格斯正接着一杯香醇的美酒，可爱的海莉正在桥边凝视着水流。还有各种各样的市民，他们性格不同，职业不一，却在这座乌托邦的城镇里快乐的生活。
万物复苏的春，播下种子，在明媚的阳光下四处游玩；
火云如烧的夏，带上鱼竿，在无边的大海边静心垂钓；
金风玉露的秋，收获满满，在城镇的庆典里嬉戏打闹；
银装素裹的冬，举起宝剑，在深邃的矿洞中寻找宝藏。
养动物、种蔬菜、开果园、钓钓鱼、学烹饪、造机器等一系列的事情，在这里都可以实现。
好朋友会教给你烹饪技巧、矿石价值、垂钓图鉴、魔法内容等各种各样的方面，让生活充满新鲜感。
甚至可以追求一个喜欢的她，步入婚姻殿堂。
生活并不完美，也许种下的种子会颗粒无收的枯萎，也许喜欢的那个她对你并不感冒，也许矿洞的战斗不幸失败告终，也许想完成的任务却最终事与愿违。
但我依然期待着丰硕的果实，期待着新矿石的发现，期待着那个她也能吐露真心，期待着任务后丰富又平淡的奖励。
生活并不完美，但我依然，热爱生活。
————————分割线————————
星露谷物语，一款养老休闲游戏，知名度极高，受众范围极大，游戏时间极长～
几年前买下了这款游戏，感觉真的很治愈，在那段最繁忙的日子里，给我带来了少有的宁静。游戏剧情很丰富，每个季节都有不同的特殊事件，人物塑造情感生动，每个人都很有特点。
高考前的那个寒假，和朋友在大年三十的夜晚一直种地钓鱼到凌晨3、4点，现在想想真的很开心。我们会一起组队去矿洞挖矿，乐此不疲的跟各种史莱姆对线。也会偷偷跑到博物馆捐矿石，拿着奖励跑到家里装修XD
熬过了那段最艰辛的时光，朋友们也在一场考试后各奔东西。但当我们想起这个和平的乌托邦，也会在闲暇时分相聚在此，就像翟永明先生说过的话：“在古代，青山严格地存在，当绿水醉倒在他的脚下，我们只不过抱一抱拳，彼此就知道后会有期。”
10/10，心中的神作",推荐
Stardew Valley,中国,2016-02-29,beenoera,236.5,"有人把这个游戏玩成心跳回忆，有人只想静静的一个人呆着努力耕种。
两天玩了20小时，觉得童年时的回忆全部都回来了，春节呆在被窝里偷偷玩GBA，妈妈进来就说在睡觉，说好困。其实正在泡一个克里夫呢，看着克里夫的红心扑通扑通的跳，我送出亲手做的料理，觉得时间都要停顿了！！（原谅一下少男也有少女心好吗？

要评分的话，是在没办法客观地评价，因为情怀分简直太多了。玩过矿石镇以后根本就不想再玩别的游戏， 也不知道为什么这一作这么成功这么得人心，。后来的那个精灵驿站觉得小精灵很讨厌，再后来3ds上的作品觉得那种渣3d的建模简直无法直视。所以大概很多人也是这样，在心里落下了一个病，这个病就是，这辈子怎么也得再玩一下矿石镇这样的游戏。

然后stardew就来啦！从2013还是14年就开始关注官方的站点，觉得真的很赞很期待。2d的风格再加上牧场物语的传统要素。

所以大家打分有没有真的觉得自己是在给这么多年的心结，几年前的回忆一个交代？

10分！
整个游戏基本上是照搬牧物的，游戏的大部分”逻辑“都很熟悉。包括好感度系统，包括节日系统，包括耕种等等。挖矿倒是和以前不同，变成了挖矿打怪，矿的需求其实不高了，但是量很少很少，也算是平衡吧。而钓鱼变得更加难了，钓鱼小游戏说实在话比较像高端的flappybird，很多人说很虐心，我一开始觉得很难，后来熟悉了以后觉得要很多鱼其实都很容易钓的，所以多钓以后基本就熟悉了游戏里面那个小鱼上下移动的规律，再加上自己flappy bird的一点点功底，90%的鱼都能钓上来。（极个别，会躲闪你的小绿条上下蹦的那些鱼我还真没办法钓，以后看新钓竿厉害不。烹饪系统相比矿石镇简化了，不爽，还是觉得以前一大套厨具收集完才能住好吃的东西，这才有感觉。

各种资源系统互为补充互相牵制，想来钱就种菜，来钱快就钓鱼，要升级工具就要挖矿，下雨天没事做去野外收集资源，整体的设计让你不会偏科，，各种事情同时推进。可以说是游戏整体的设计非常成功。

再说一下自己的展望吧，玩这个游戏的时候，突然觉得这是一个活的游戏，牧场物语矿石镇很多bug无法克服，系统也已经定死了，所以你是在探索一个死的世界，而sv则不是，说不定下一个版本就会完善，就会增加很多新东西，比如现在小麦没有任何用处，小麦至少要能磨成面粉吧？小麦也可以做成hay用来喂鸡吧，这些东西看的出来以后会更加多更加丰富，所以就朝这一点，我特别特别推荐这个游戏。

额甚至多人模式。大家期待吗。。",推荐
Stardew Valley,中国,2019-09-28,WANGCC,81.7,真是跪求开个创意工坊吧，自己找的mod都随版本更新失效，新版的还巨难找,推荐
Stardew Valley,中国,2017-12-17,纞我lianwo,148.9,期待多人模式~~~~,推荐
Stardew Valley,中国,2022-05-14,雪ノ下 樹海♬,1.0,如果能一直生活在星露谷里就好了，那样就能在花舞节上再次牵着她的手了。,推荐
Stardew Valley,中国,2022-11-17,bb6568827,95.3,有没有人一起玩啊我是女生想找个人一起玩,推荐
Stardew Valley,中国,2024-07-10,Julie,269.7,"在游戏里好幸福，所有努力都能得到回报，即使捡垃圾也能活得下去，农场经营得再差也会得到爷爷的夸奖，村民们虽然刚开始不太好相处，但是只要我付出真心就能得到他们真诚的友谊。
如果有下辈子，我希望我能生活在星露谷，哪怕是作为下水道的蟑螂",推荐
Stardew Valley,中国,2023-05-21,YON,1.0,"如果能生活在这样的世界，我感觉还是不错的，现实的生活可能没有游戏里简单，玩这游戏的时候玩的是游侠盗版的，这游戏满满的回忆，后来初中没读好书，上了技校太多不开心的事了，每当我回到游戏的家，有一个女孩会一直陪着我，还有两个可爱的小孩，可是现实5年的爱情都是遗憾，这是一个好游戏陪伴了我的青春,加油",推荐
Stardew Valley,中国,2017-05-14,jini,463.7,"给我特别的孙子。
我希望你保存这个STEAM账号。
不，不，现在不要登录它。
听好了，
当你感觉要被现代生活的重担压垮时，
在你被掏空之前，你明亮的心将逐渐消逝。
如果发生这样的事情，我的孩子，你就可以登录我的账号打开星露谷物语了。
现在，让爷爷再玩会......",推荐
Stardew Valley,中国,2021-08-12,?????,64.9,疫情的时候玩的，太好玩了以至于现在准备放下游戏复读了,推荐
Stardew Valley,中国,2025-11-10,ScribbleRedRock,946.8,"妈妈，人生要是星露谷就好了！
*送出的礼物会收获双向奔赴的友谊，好像人与人之间的交际也不再那么复杂
*所有的付出都会有回响，每一份努力都不再被辜负
*每天的生活都很充实，务农也不再是乏味的代名词
妈妈……人生要是星露谷就好了
*春风会带来所有的生气，夏雨会滋养每寸的欢喜",推荐
Stardew Valley,中国,2022-11-30,电子星拔丝传说地瓜,69.8,"玩这个游戏的50来个小时基本见证了我和对象2022年一整年的恋情了。我个人非常喜欢这类模拟游戏，现在疫情天天关在家里头和对象也见不到面，玩这个游戏或多或少弥补了一些缺失的相处时间。但玩的过程中也吵过大架，比如他开始觉得无聊了，不想玩了，但我还是沉浸其中，因此我们开始争执，甚至变成了一个分开的导火索。
说了很多和游戏评价无关的东西，好吧，总的来讲真的很好玩，很治愈，内设npc很饱满，游戏玩法也很丰富，弥补了我现实生活中许多真实体验干的缺失，是一个我前一天晚上玩了，第二天闲下来的时候就想再打开玩玩的游戏。但为什么我对象会觉得无聊，嗯，我觉得是否喜欢这个游戏还是得看你喜不喜欢模拟类的游戏，如果喜欢，那我感觉这个游戏真的很天花板了，如果不喜欢，但假如你有个喜欢这类游戏的女友，我也建议你多陪她玩玩，因为她真的会很开心。",推荐
Stardew Valley,中国,2020-11-28,她只说了晚安,80.6,渣女！我几乎花光了所有的积蓄，为你在家门前种满了向日葵，不惧危险去矿洞为你挖出这世界上最配得上你的钻石只为了绿了你的男朋友，不是，只为了能和你在一起。终于我们结婚了，但是我发现你只要过节就会和亚历克斯在一起！你嘴上说着爱我还有你每天早上的亲亲难道都是假的吗？啊啊啊操你妈渣女！星露谷的所有女人都是渣女！,推荐
Stardew Valley,中国,2025-05-08,传奇逃生者—紫金糊人牢大,98.7,这才是游戏该有的样子。在如今动辄几十个G，无脑高画质的游戏环境下，游戏性都被忽略掉了。好玩的游戏即使是马赛克，也能给你带来绝佳的游戏体验,推荐
Stardew Valley,中国,2020-12-22,熊熊Jack,188.3,曾经想和女朋友一起玩的，但是她说不喜欢这样的画风，玩了就会很困，于是我自己打了几十个小时，现在游戏里面什么都有了，我却没有她了........,推荐
Stardew Valley,中国,2021-06-29,without,218.8,给闪退的玩家一个建议，应该是和你们的输入法冲突了，把输入法改成美式英语（右下角有EN标志）就不会闪退了，我之前也是这个问题，希望有用。,推荐
Stardew Valley,中国,2021-04-16,James 24,105.0,为什么没有创意工坊,推荐
Stardew Valley,中国,2025-01-03,叶子黄了丶,205.8,不知不觉就200个小时了，第一次玩这个游戏是因为男朋友想要一起玩，玩了几个小时就没有继续了，后来分开了又拿了起来，星露谷物语真好啊，什么事情都来得及，今年来不及明年，明年来不及后年，可惜和他再也没有以后了，进度卡在了99%，像和他的感情，再也不会有100%了，再见星露谷物语，再见流动的四季。,推荐
Stardew Valley,中国,2018-09-15,我是落命高手,181.6,妈呀为什么老闪退哦T T 有跟我一样的吗,推荐
Stardew Valley,中国,2021-06-26,former,88.3,这游戏挺好的，能从八点钟玩到八点钟，我一度以为自己家钟坏了,推荐
Stardew Valley,中国,2018-04-12,Verna,126.0,"Steam 上的第一个评论，给我玩了88个小时的星露谷。 说实话，我不是一个对某一款游戏会特别上瘾的人。 但是遇到这个游戏的时间非常凑巧。刚开始在玩星露谷的时候，我真的压力很大，每天都有各种事情需要做。星露谷就仿佛一个世外桃源，让你逃离现实，享受宁静与美好。每天清晨起来和医生来个美美的kiss， 收货自己的农作物， 和我的鸡鸭牛猪亲热亲热，这一切都很舒服。星露谷的世界是真实的，每一个人都有自己的个性。他们有自己的喜好，每天有自己的日常路径，有理想有目标。所以我一开始玩就停不下来了，直到肝到了88个小时。第一年结束的时候，我觉得我真的融入了这个小镇。
但是随着时间推进，我的农场一切都自动化了。 我每天起来甚至都不用收作物，钱也多的花不完。我的游戏没有了目标。我开始自己去找mod。（说到这个，星露谷能开个创意工坊吗？）自己学着装mod。我对这个游戏的热情又重新燃烧了起来，但是又很快消灭了。于是我卸载了星露谷。我可能要对这个小镇say byebye了。
但是我依然怀念那个给我留下美好记忆的星露谷。说不定等更新了多人模式的时候，我还会再回来的~",推荐
Stardew Valley,中国,2016-06-21,兵败如山倒desuwa,199.4,"下面是我台记者就星露谷物语毒瘾效应一事 在戒毒所的一段采访

Q：当时毒瘾是怎么发作的

A：和平时一样 玩了一晚游戏准备关电脑睡觉

于是就回家睡了个觉 存个档

正想退出游戏时 突然想到反正都第二天了

不如把第二天的活也做完再关游戏也不迟

于是做完第二天的活 回家睡了个觉 存个档

正想退出游戏时 突然想到反正都第三天了

不如把第三天的活也做完再关游戏也不迟

于是做完了第三的活 回家睡了个觉 存个档

正想退出游戏时 突然发现第四天是个雨天

不用浇水正好留下体力可以去下矿 不如

下矿碰碰运气再关游戏也不迟

于是又挖了一天的矿 回家睡了个觉 存个档

正想退出游戏时 突然发现可以收菜了

于是收完菜 又去岳父那里进了一批种子

播完种 回家睡了个叫 存个档

正想退出游戏时 突然想到反正都第六天了

不如干完第六天的活再关游戏也不迟

于是......",推荐
Stardew Valley,中国,2023-08-13,KawaiiAmiya,124.0,"不是很推荐游玩，主要原因如下
1，太养生了，一天只玩16分钟就觉得很多了。
2，游戏流程太短了，有了第一次瞎玩玩了一个140分钟的档之后，转正买的这个开新档，107分钟就全成就+上山顶了。
3，游戏定价太低了，这导致我盗版完了140分钟之后又有能力下了个正版，又玩了120分钟。
4，不是分钟，原来那个是小时，现在人感觉快要猝死了。
5，都给我玩星露谷！！！",推荐
Stardew Valley,中国,2020-01-18,是昔流芳,404.3,"分数：9/10
总评：我们星露谷玩家才不是修仙者，只不过是半夜睡不着而已

156小时全成就，本来想说说优缺点，但这游戏实在太热门了，网上评测极多，想想也不需要我再打马后炮了
最后只说一句：如果你第二天要上班，千万不要打开这款游戏，我花了半个多月才终于把作息调整回来……",推荐
Stardew Valley,中国,2020-10-12,ShadowGoose,80.9,如果你越是因为学习工作而紧张繁忙，你就会越是沉迷这款游戏,推荐
Stardew Valley,中国,2020-02-12,小火,214.7,芜湖~,推荐
Stardew Valley,中国,2020-08-23,星野新一,132.7,现实生活我懒懒散散，星露谷里我勤奋种地！,推荐
Stardew Valley,中国,2021-11-04,冷冽谷的小米粒,31.0,好玩 特别的好玩 建议是和朋友们一起玩（当然女朋友更好）可以增进感情 但是不要像我一样 自己在电脑跟儿一坐坐一天,推荐
Stardew Valley,中国,2021-11-27,Cash,203.7,大三期末买的，唯一一次挂科,推荐
Stardew Valley,中国,2022-02-04,Aku6i_,430.3,"这款游戏对于我来说和其他游戏截然不同。
我之前一直在想怎么能让女朋友和我有能一起玩的PC端游戏，因为女朋友平时电脑用的少，很多PC游戏她并不能习惯。
直到我认识了《星露谷物语》，这款游戏的玩法完美契合了一对情侣，我和她通过这款游戏，相谈甚欢，我们是如此的喜欢着我们经营的小农场，如此热爱这个城镇的氛围，每次玩这个游戏我们都能忘掉很多的烦恼，很治愈。
第一次买正版游戏，第一次跟男生玩PC游戏，第一次买手柄，第一次感受到独立游戏的魅力。
现在已经在一起四年了，我很爱她，她也很爱我，情侣之间如果想长久，就要多向另一半推送你自己世界里的新奇事物两个人多互动，而不是各玩各的，能让她爱上我是我这辈子最大的幸运。
如果你也有女朋友，那么请一定要带她来星露谷试试。",推荐
Stardew Valley,中国,2024-11-15,被窝探险家,479.2,1.5版本就在玩了，非常好的农场生活，从最开始连献祭都没搞明白到带着矮人那里买的炸弹炸翻骷髅矿洞。1.6的到来无疑是一个大惊喜，不仅是因为更新了更多细节，也暖心于作者没有忘记星露谷。正常玩家是不会因为mod版本不适配来谴责游戏作者的，1.6版本的大火吸引了一些本来就不是来玩星露谷的模拟器玩家，这不是作者的错。作者很好脾气的道歉了，但明眼人都能看出这很荒谬。如果你期待休闲的农场生活，那我建议你来玩星露谷物语，如果你想玩mod，那我建议你看清楚mod版本是否适配，如果你因为mod版本不适配来骂作者，我劝你去模拟人生论坛挨骂。,推荐
Stardew Valley,中国,2019-01-26,空殼,18.8,"超级超级棒的“休闲”游戏，还加了联机可以和小伙伴一起愉快的种田、挖矿、互绿~

关于win10的闪退问题：
疯狂闪退，翻了圈评论发现还不少又没找到解决办法。
然后这是百度到的，亲测有效，希望能帮到大家。

1.输入法要换成美式输入法，就是右下角ENG显示的，而不是简单的切换成：英。
2.第一天玩的小伙伴可能会输入中文名称，那么注意了，进去存档后退出，切换成ENG再进去。（这里可能知道的人比较少，游戏过程中是不许切换到中式输入法的，必须全程保持美式，也就是开美式进去，知道退出游戏一直不能切换，一下下都不行）
3.送动物的时候你打了中文，那么也可能到中午半晚闪退，记住不要切换输入法，你可要没进游戏前打完复制，游戏里粘贴，快捷键应该都会吧就。
4.切记，游戏一开始就不许切换到中式输入法，至于闪退和人物名称目前我感觉是不是中文没有关系。闪退基本就是游戏途中切换输入法导致的。不要手痒痒按到win+空格。
5.祝大家都能过自己想要的生活！

原文地址：",推荐
Stardew Valley,中国,2020-05-30,兔兔,51.0,"谈恋爱的时候天天肝
分手以后以为想玩的只是这个游戏
结果是陪我玩的人",推荐
Stardew Valley,中国,2019-06-29,源源【严厉的继父版】,79.4,差评原因 : 内容太过真实，正是我想要的咸鱼生活,推荐
Stardew Valley,中国,2017-05-09,WW3,313.3,"指出个BUG和提个建议，请会英文的小伙伴帮忙翻译给作者看
1.罗宾在升级鸡窝时恰巧站在我的箱子上，导致箱子打不开无法使用。
2.我想在星露谷里写日记！记录一下每天发生的特别事件，比如献祭成功、和sab结婚，今天盖了鸡窝，今天差点死在矿洞等等日常，因为回顾时都不记得自己做了什么。想每天记一两句话，回忆时也非常有趣。
求小伙伴支持和帮助汪汪汪！",推荐
Stardew Valley,中国,2018-09-29,金鹏Biubiubiu,2.0,"]我们需要创意工坊
we need workshop",推荐
Stardew Valley,中国,2021-12-28,传说级发光泥沼蟹★,127.4,我以为这是休闲游戏,推荐
Stardew Valley,中国,2024-10-12,予瑢,630.4,我陪你种地，陪你下矿，陪你打怪，陪你养鸡，陪你钓鱼，陪你酿酒，陪你去沙漠，陪你进赌场，开小号去你档里打工。你还不明白吗？我是真的喜欢玩星露谷。,推荐
Stardew Valley,中国,2021-12-30,蓝枳纪年,807.5,"主角厌倦了996的生活，于是来农场开始627
2024.12.20编：星露谷是好游戏，作者也是很好的开发者，拓展很多，虽然人有自由但同时也要圈地自萌，抱着赛博殖民的想法来打差评的行为也真的也是让人无语了，忧郁猿一看天都塌了，真是锅从天上来",推荐
Stardew Valley,中国,2025-01-30,红星弱星,1.0,"这是休闲游戏。
现实生活很仓忙，各种催促，各种压力。
但这些在星露谷都没有。
我想，每个人心中都有一个像星露谷一样的地方，那里面没有渴也没有饿，不会老也不会死，可以早睡晚睡，可以摆烂可以勤奋，做最自在的自己。
希望你也能找到属于自己的星露谷。",推荐
Stardew Valley,中国,2021-10-02,油蒸这私厨,221.4,我们星露谷玩家都很休闲的，一天也就玩26个小时,推荐
Stardew Valley,中国,2025-02-20,Nopeari,118.4,"妈妈，人生要真是星露谷就好了，
随时可以到达的海边，
送出礼物就能获得的友谊，
付出努力就一定会有收获，
失败了也只是掉东西，
永远有再来的机会，
而且就算什么也不干每天躺在床上评定等级的时候，
爷爷也只是希望你远离世俗开开心心。
妈妈，人生要真是星露谷就好了，
我想有很多很多朋友，想有疼爱我的长辈。
种下去就能长出来的菜，放进小桶就能酿出的酒，
下雨也可以去海钓一整天的鱼；
砍树也是充实的一天。
妈妈，为什么我一直都只是在小房间里打转呢",推荐
Stardew Valley,中国,2025-07-18,CrispyFish,103.0,"我以为自己是在种田，其实是养一颗疲惫的心。
现实里焦虑、迷茫、复杂的人际关系，每天都被“应该”推动前行。
但在星露谷里，没有人逼你完成目标。没有KPI，失败也不会有人责怪或惩罚你。
NPC每天都和你打招呼，有时候送你食物，有时候只是说一句“天气不错”。
当你厌倦了现实的灰色，不妨来这里，哪怕只是一场短暂的逃亡。
如果你还没有玩过，还请不要查攻略，随便开始就好，你会在这里找到属于自己的节奏。",推荐
Stardew Valley,中国,2023-09-06,亲爱的不二,530.5,厌倦了城市里的996，所以我选择了下乡的627,推荐
Stardew Valley,中国,2022-08-26,Ame^^,213.5,感谢星露谷治好了我的电子阳萎,推荐
Stardew Valley,中国,2016-03-12,Zard-,98.0,It's not addictive.,推荐
Stardew Valley,中国,2022-05-01,新世界传奇航海士,11.6,一年前买的时候是准备和女朋友结婚之后玩的 没想到第一次玩是和女朋友分手之后。。。,推荐
Stardew Valley,中国,2021-02-04,babybobo,345.7,"还在考虑买游戏的伙计们可以去百度贴吧体验一下游戏的风土人情。

这游戏的贴吧和社区非常有意思，一句怎么获取，下面长篇大论，这就是日常问答，还有酿酒流和养猪流永远的“战争”、讨论不完的八卦和镇长内裤，以及非常有特色的“本吧要素”，最近更新的姜岛内容中，中文wiki的很多东西还没有，都是贴吧老哥在不停的测出数据或者翻译官文然后更新，总之社区气氛很好，游戏趣味大大增加。

游戏中有独立的世界观，有自己的神一一由巴，自己的节日，戈特洛帝国和凡吉尔共和国的战争，躲在地下刚刚停止元素战争的矮人和暗影族，祝尼魔的森林魔法，一切好像真正存在。这些故事可以完全让你沉浸在作者如此丰富的想象力之中，更多的游戏背景就不——列举了，可以在这里看：

角色的形象塑造非常棒，不论是角色画像还是剧情，都可以很好的展现角色性格，比如阿比盖尔穿的蓝色长背心，joja员工谢恩粗糙的胡子，或者刘易斯发现自己短裤被丢进夏威夷百乐汤里后的愤怒与无奈，都可以让你真真切切感受到这样一个人的存在，并期望了解每一个人的性格和内心世界。

还有进度方面，游戏里没有永久遗留性问题【生鱼王片除外#滑稽】，所有事情错过下一年都可以补上，想沉浸在游戏世界完全可以不看任何教程自己摸索。想玩肝帝模式也可以考虑大佬的极限流，有巨佬第一年春天搞了300万#喷血。

游戏里内容相当丰富，以至于翻译人员都不能发现所有对话，所以会落下一两个几乎不会见到的冷门对话【比如有一位玩家就发现艾米丽去沙漠和桑迪的两句对话没有翻译】，但我拿一包辣条保证绝对不影响游戏，而且触发了甚至可以到贴吧里炫耀一波：“兄弟们我怎么有一股炫狗的味啊，我恶不恶心啊，兄弟们我好恶心啊”。

彩蛋巨多，贴吧里经常发现：我是不是第一个发现这个彩蛋的人？之类的帖子，还有把“铱制罗布斯科雕像”认成“紫色冬根”的可爱#滑稽Plus。

还有测评的问题，这游戏差评90%以上都是联机体验极差。关于联机，这个游戏并不完全为联机而存在，更多的是独自一人游戏的乐趣，如果是非常想联机的建议去贴吧找老哥要联机mod，这样可以更稳定。

总之，这款游戏非常容易让人沉浸，闲肝皆宜，并且具备400小时的可玩性，还有社区mod极大延长游戏寿命，可玩性完全不用担心，放心购买。

文笔有限，言不达意，建议亲身体验。
【我评论竟然就这么火了？后些时间加的测评如果有错误请指正】",推荐
Stardew Valley,中国,2022-09-03,小强,261.2,"在这里养了一只猫猫，路过的朋友可以摸摸她一赞摸一次
＿＿
／＞　　フ
| 　_　 _ l
／` ミ＿xノ
/　　　 　 |
/　 ヽ　　 ﾉ
│　　|　|　|
／￣|　　 |　|　|
| (￣ヽ＿_ヽ_)__)
＼二つ",推荐
Stardew Valley,中国,2025-09-17,悲伤小蛋鸭,39.1,好玩,推荐
Stardew Valley,中国,2021-01-09,Pudd1nGMast@r,95.4,"我只想问一个问题
为什么会闪退啊啊啊啊啊啊啊",推荐
Stardew Valley,中国,2023-08-15,曼波,2.9,为什么没有创意工坊,推荐
Stardew Valley,中国,2016-04-13,Lin_Ai,166.0,没有中文是最大的遗憾了,推荐
Stardew Valley,中国,2025-03-15,Yan33,38.7,很好玩 研究生时间能安然划水 而且散热器不会发出爆鸣 办公室游戏打发时间 强烈推荐 就是有一种鱼钓的我有点红温了,推荐
Stardew Valley,中国,2018-01-04,性 感 后 妈,13.0,牛逼啊，今年是9102年吗，联机突然就来了，哭了呜呜呜,推荐
Stardew Valley,中国,2025-04-29,ChaseToMinku,537.7,老乡醒醒，你嘴里一直念叨着什么大黄跌了什么关税涨了，把大家吓坏了，都不知道你在说什么。罐头瓶里的鱼籽可以拿出来了，对了，去地窖里喝一瓶金星杨桃果酒醒醒神吧。以后太累了随时都能回来看看。,推荐
Stardew Valley,中国,2019-03-14,DF_XYZ,69.3,"少无适俗韵，性本爱丘山。
误落尘网中，一去三十年。
鸡鸟恋旧林，池鱼思故渊。
开荒南野际，守拙归园田。
方宅十余亩，草屋八九间。
暧暧远人村，依依墟里烟。
狗吠深巷中，鸡鸣桑树颠。
户庭无尘杂，虚室有余闲。
久在樊笼里，复得返自然。",推荐
Stardew Valley,中国,2023-09-27,薯条悪魔,20.9,很好玩,推荐
